descriptor,Central_Asia,,,,,,,,,
,,,,,,,,,,
date,20181018,,,,,,,,,
juld,291,,,,,,# Julian Day,,,
,,,,,,,,,,
data files,,,,,,,# all V10r data,,,
path_sat_data,../sat_data,,,,,,"# Note that I used V8r for most data files (for heritage reasons), except for the Lite file (V10)",,,
l2,oco2_L2StdND_22850a_181018_B10004r_200520201845.h5,,,,,,# L2 file https://oco2.gesdisc.eosdis.nasa.gov/data/OCO2_DATA/OCO2_L2_Standard.10r,,,
lt,oco2_LtCO2_181018_B10206Ar_200730042453s.nc4,,,,,,# lite file https://oco2.gesdisc.eosdis.nasa.gov/data/OCO2_DATA/OCO2_L2_Lite_FP.10r,,,
l1b,oco2_L1bScND_22850a_181018_B10003r_200409205805.h5,,,,,,# L1B file https://oco2.gesdisc.eosdis.nasa.gov/data/OCO2_DATA/OCO2_L1B_Science.10r,,,
dia,oco2_L2DiaND_22850a_181018_B10004r_200520194946.h5,,,,,,# diagnostic file https://oco2.gesdisc.eosdis.nasa.gov/data/OCO2_DATA/OCO2_L2_Diagnostic.10r,,,
met,oco2_L2MetND_22850a_181018_B10003r_200409205805.h5,,,,,,# MET file https://oco2.gesdisc.eosdis.nasa.gov/data/OCO2_DATA/OCO2_L2_Met.10r,,,
imap,oco2_L2IDPND_22850a_181018_B10003r_200412061944.h5,,,,,,,,,
co2prior,oco2_L2CPrND_22850a_181018_B10003r_200410025041.h5,,,,,,,,,
sol,solar.txt,,,,,,# Location of solar file,,,
,,,,,,,,,,
# zpt setting,,,,,,,,,,
o2mix,0.20935,,,,,,# o2 dry-air mixing ratio,,,
,,,,,,,,,,
# absorption information,,,,,,,,,,
footprint,1,,,,,,# 1 to 8,,,
ils_min,0.05,,,,,,# minimum relative ils weight for calculating absorbance,,,
nx,10,,,,,,# number of transmittance interval,,,
Trn_min,0.4,,,,,,# minimum transmittance for selecting the wavelength,,,
abs_interpolation,trilinear,,,,,,"# single, linear, or trilinear",,,
g_mode,FALSE,,,,,,# TRUE or FALSE,,,
,,,,,,,,,,
# aerosol setting,,,,,,,,,,
_aerosol,TRUE,,,,,,# TRUE or FALSE,,,
asy,0.6,,,,,,# aerosol asymmetry parameter,,,
,,,,,,,,,,
,,,,,,,,,,
# cot-ref relationship,,,,,,,,,,
cth_thick,10,,,,,,# clout top height for thick clouds (km),,,
cgt_thick,7,,,,,,# clout geometric thickness for thick clouds (km),,,
cth_thin,3,,,,,,# clout top height for thin clouds (km),,,
cgt_thin,1,,,,,,# clout geometric thickness for thin clouds (km),,,
cot_Nphotons,1.00E+07,,,,,,# number photons used for COT-Ref relationship,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
simulator information,,,,,,,,,,
#pathsim,/Users/schmidt/rtm/ocosim/dat/new/,,,,,,,,,
pathsim,/Users/schmidt/rtm/er3toco/oco/,,,,,,,,,
o2,data_all_20181018_o2a_6170_6209_sfc_alb_0.374_sza_48.5.h5,,,,,,#data_all_20181018_o2a_6170_6209_sfc_alb_0.288_sza_48.5.h5,,,
wco2,data_all_20181018_wco2_6170_6209_sfc_alb_0.374_sza_48.5.h5,,,,,,,,,
sco2,data_all_20181018_sco2_6170_6209_sfc_alb_0.357_sza_48.5.h5,,,,,,,,,
,,,,,,,,,,
full physics retrieval information,,,,,,,,,,
python,/data/hong/soft/python3/anaconda/envs/oco/bin/python,,,,,,# python that is used for retrieval sub-process,,,
,,,,,,,,,,
domain info,,,,,,,,,,
png,aqua_rgb_2018-10-18_55.90-56.75-29.83-31.11.png,,,,,,# PNG file,,,
pngwesn,56.05,56.6,30,30.95,,,# PNG file extent,,,
subdomain,56.05,56.6,29.98,30.96,,,# sub-domain to zoom into (this is processed by the OCO simulator),,,
location,-60.0217,-3.119,Manaus,,,,# special location to plot with label,,,
,,,,,,,,,,
,,,,,,,,,,
ref_threshold,0.09,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
SND,LON,LAT,L2XCO2[ppm],L2PSUR[kPa],i1,s1,i2,s2,i3,s3
SND2018101809312101,56.382584,30.052202,408.62485,80.84731,0.002320265,0.009963834,0.003499848,0.005174148,0.001925989,0.007742597
SND2018101809312131,56.37736,30.072247,409.01886,80.693375,0.003233547,0.012071677,0.004761293,0.006221366,0.002731198,0.009006022
SND2018101809312132,56.38315,30.063847,412.0832,80.56484,0.002282183,0.00986895,0.003446544,0.005126814,0.001892734,0.007684461
SND2018101809312133,56.388878,30.05537,411.74854,80.87619,0.002279303,0.009861748,0.00344251,0.00512322,0.00189022,0.007680041
SND2018101809312173,56.38366,30.075418,409.42462,80.78885,0.00328732,0.012187343,0.004834677,0.00627861,0.002779018,0.009073923
SND2018101809312174,56.389317,30.066896,415.48047,80.289406,0.002414637,0.010196175,0.003631666,0.005289979,0.002008517,0.00788446
SND2018101809312175,56.39484,30.058418,412.59348,80.50406,0.002309999,0.00993832,0.003485483,0.005161421,0.00191702,0.007726976
SND2018101809312176,56.40029,30.049877,410.23413,80.24179,0.002705908,0.010890186,0.004036231,0.005635358,0.00226428,0.008304206
SND2018101809312204,56.384064,30.086939,388.42093,80.577705,0.006641021,0.018301386,0.009280827,0.009278104,0.005825019,0.012499137
SND2018101809312205,56.389587,30.07846,406.8323,80.999374,0.00386761,0.013388427,0.00562137,0.006871801,0.00329757,0.009771218
SND2018101809312206,56.395035,30.06992,411.63992,80.83534,0.002733179,0.010953512,0.004073943,0.005666829,0.002288304,0.00834222
SND2018101809312207,56.40039,30.06134,413.04672,80.513855,0.002429546,0.01023253,0.003652459,0.005308094,0.002021571,0.007906595
